geo;track_number
ru;AQ961054497CN
ru;1226973737
ru;RP17407964
ru;RV038153394HK
ru;80082756338978
ru;1226121096
ru;11928532022474
ru;80092156273120
ru;ZF433448662HK
ru;UG203319757HK
ru;LC415333221CN
ru;AEPU0003194231RU2
ru;UB209431153LV
ru;RR106068397KZ
ru;BNEPY2001693313YQ
ru;1227778515
ru;ZF428597519HK
ru;ZF447817950HK
ru;TYZPH0002741478YQ
ru;RV038896423HK
ru;EE027667583RU
ru;80088856387885
ru;LZ480394132CN
ru;1226841885
ru;UM352351561HK
ru;1227030770
ru;1226068298
ru;LC425599475CN
ru;SY14074346045
ru;1227802856
ru;LZ491101550CN
ru;UM385875629HK
ru;UM368364951HK
ru;99990004900653
ru;1Z78V0A90499840629
ru;UG193948319HK
ru;RU980198905HK
ru;80088556968421
ru;UM353547984HK
ru;UB558238092HK
ru;ZF451654263HK
ru;80110756976712
ru;RU986101604HK
ru;AQ997888229CN
ru;RU970864714HK
ru;AECA0000831779RU2
ru;1227287621
ru;LC424662384CN
ru;ZF451488212HK
ru;UB199832821LV
ru;SB018081985LV
ru;LA124924246CN
ru;UB172906931LV
ru;12505755018430
ru;RU045562310
ru;UM364388453HK
ru;ZF452349676HK
ru;80110656204694
ru;ED143886109RU
ru;LQ271502465CN
ru;1227436977
ru;TYZRB0000873014YQ
ru;80089956837836
ru;80110856452710
ru;UM424416539HK
ru;0000442366564
ru;34409154160542
ru;CP021407395UA
ru;35753253029880
ru;RY000639884DE
ru;0000164140837
ru;RU986077437HK
ru;99990004861431
ru;AEPU0003146805RU2
ru;99990002554431
ru;UA936093383US
ru;80110356845074
ru;SYAET02740014
ru;LC421040615CN
ru;UM421838422HK
ru;80110456117453
ru;LQ280804910CN
ru;RU981903467HK
ru;99990004937805
ru;46050454000257
ru;LZ461502069CN
ru;UD567426655NL
ru;1227102776
ru;RA331741725RU
ru;ZF444585559HK
ru;1227217072
ru;45058055002251
ru;LZ590342849CN
ru;45275455299740
ru;AS459707925CN
ru;RU976617866HK
ru;80091356228145
ru;UB560568455HK
ru;UM421386798HK
ru;AQ962649532CN
ua;59000638936558
ua;3960020532020
ua;CP063400044UA
ua;RD069768375UA
ua;PR158629061YP
ua;SA033714251LV
ua;MYCV042514797ES
ua;AENM0000804392
ua;AENM0000418461
ua;UA2646152DM00420G
ua;SY14071889266
ua;RO483795165EE
ua;6906901632996
ua;0503399991406
ua;UB169894751LV
ua;TYZPH0004576948YQ
ua;0500420776953
ua;5750804938564
ua;0500355686852
ua;SA144104214EE
ua;PR159114938YP
ua;SA032782082LV
ua;0503010694452
ua;5500217544115
ua;0500355605941
ua;415508355
ua;20450337426782
ua;M2406583684
ua;20450336415616
ua;415459141
ua;SYAET04728727
ua;SA033774391LV
ua;80091056220302
ua;UA2134021BI21101G
ua;20450337865043
ua;0350221515
ua;0504200422374
ua;RA516051366UA
ua;4931707544870
ua;SA144280134EE
ua;0503011568671
ua;59000638918281
ua;5204524525
ua;SA140597902EE
ua;RO493674604EE
ua;SA143069391EE
ua;UC131711975EE
ua;AS579165974CN
ua;UJ740362846CN
ua;20450337568955
ua;0503011740105
ua;20400214144418
ua;0503010991414
ua;RK001559215LV
ua;1241500088800
ua;SY14058749527
ua;SA140752655EE
ua;AS162004212CN
ua;3903232845628
ua;0500356162091
ua;20450337054631
ua;UA2621251DL21101G
ua;20450338271304
ua;7502401039326
ua;59000637729155
ua;0212200790755
ua;SA142367796EE
ua;AENM0000759078
ua;20400214412581
ua;20450338281764
ua;RG650482633UA
ua;0500210327064
ua;SA038642361HK
ua;59000638708247
ua;72002637472481229
ua;59000637596417
ua;20450336704543
ua;6103802524302
ua;8755528144438
ua;59000638687982
ua;0500356227193
ua;0500355165615
ua;0500210335920
ua;UC133417772EE
ua;20450338552987
ua;20450335499364
ua;6906704499257
ua;0503012121662
ua;AENM0000685704
ua;0102121273494
ua;0500356012910
ua;AENM0000865381
ua;0500356086140
